id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2018-04880;;;;;;;11;417083.833333333;6296688;32611;;
2018-05330;;;;;;;;;;;;
2018-05340;;;;;;;;;;;;
2021-35130;;;;;;;;;;;;
2021-35277;;;;;;;;;;;;
2021-35343;;;;;;;;;;;;
2023-02002;;;;;;;;;;;;
2023-02014;;;;;;;;;;;;
2023-02290;;;;;;;;;;;;
2018-00939;56;25;56.5;-111;6;29.1;;;;;;
2018-01341;;;;;;;;;;;;
2018-01343;;;;;;;;;;;;
2018-02187;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02337;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02499;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02572;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02587;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02656;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03262;;;;;;;11;419071.17;6295705.92;32611;;
2018-03263;;;;;;;11;414405.56;6290489.06;32611;;
2018-03264;;;;;;;11;419184.58;6290419.33;32611;;
2018-03265;;;;;;;11;418767.93;6290343.21;32611;;
2018-03266;;;;;;;11;416727.41;6289959.67;32611;;
2018-03267;;;;;;;11;418401.51;6290816.32;32611;;
2018-03268;;;;;;;11;416880.51;6295183.09;32611;;
2018-03269;;;;;;;11;416490.05;6298188.91;32611;;
2018-03270;;;;;;;11;419343.3;62955730.66;32611;;
2018-03271;;;;;;;11;419337.93;6296052.99;32611;;
2018-03272;;;;;;;11;417832.48;6290135.72;32611;;
2018-03273;;;;;;;;;;;;
2018-03274;;;;;;;;;;;;
2018-04834;55;6;38.53;-118;45;40.02;;;;;;
2018-04889;54;32;30;-111;14;21;;;;;;
2018-05280;;;;;;;;;;;;
2018-05341;;;;;;;;;;;;
2018-05599;55;6;34.79;118;45;39.26;;;;;;
2021-35237;;;;;;;;;;;;
2021-35339;;;;;;;;;;;;
2021-35480;;;;;;;;;;;;
2022-15089;;;;;;;;;;;;
2022-15149;;;;;;;;;;;;
2022-15251;;;;;;;;;;;;
2023-02117;;;;;;;;;;;;
2018-03275;;;;;;;;;;;;
2018-03036;;;;;;;11;418220.15;6296519.98;32611;;
2018-03276;;;;;;;11;416931.5;6289915.17;32611;;
2018-03277;;;;;;;11;416695.08;6297896.08;32611;;
2018-05342;;;;;;;;;;;;
2022-15081;;;;;;;;;;;;
